Target ID,Target Name,Site Center WKT,Site Shape WKT
fossil0071,fossil_Quanzhou_China,POINT(118.5805200000001 24.91197000000005),"POLYGON((118.1857087995115 24.5503408639302,118.1834035733374 25.2725304533287,118.9776364266628 25.2725304533287,118.9753312004887 24.5503408639302,118.1857087995115 24.5503408639302))"
fossil0072,fossil_Brisbane_Australia,POINT(153.0233400000001 -27.46843999999993),"POLYGON((152.6173174554914 -27.82880876000389,152.6199544408832 -27.10687641933376,153.4267255591169 -27.10687641933376,153.4293625445087 -27.82880876000389,152.6173174554914 -27.82880876000389))"
fossil0073,fossil_Dalian_China,POINT(121.6022200000001 38.91222000000005),"POLYGON((121.1433510987806 38.55099404936022,121.1386876533917 39.27160182543121,122.0657523466084 39.27160182543121,122.0610889012196 38.55099404936022,121.1433510987806 38.55099404936022))"
fossil0074,fossil_Tel_Aviv-Yafo_Israel,POINT(34.78953000000007 32.08556000000004),"POLYGON((34.36747659079845 31.72412774360912,34.36414782411381 32.44555465383712,35.2149121758863 32.44555465383712,35.21158340920169 31.72412774360912,34.36747659079845 31.72412774360912))"
fossil0075,fossil_Milan_Italy,POINT(9.18178000000006 45.46796000000006),"POLYGON((8.673517846141579 45.1069142044493,8.667007659058669 45.82669249486886,9.696552340941452 45.82669249486886,9.690042153858542 45.1069142044493,8.673517846141579 45.1069142044493))"
fossil0076,fossil_Abu_Dhabi_UAE,POINT(54.37173000000007 24.46918000000005),"POLYGON((53.97828831189895 24.10754017799125,53.97603747500898 24.8297724765273,54.76742252499116 24.8297724765273,54.76517168810119 24.10754017799125,53.97828831189895 24.10754017799125))"
fossil0077,fossil_Ankara_Turkey,POINT(32.85391000000004 39.92109000000005),"POLYGON((32.38846447514521 39.55989389517051,32.38356068194969 40.28037567688244,33.32425931805037 40.28037567688244,33.31935552485484 39.55989389517051,32.38846447514521 39.55989389517051))"
fossil0078,fossil_Qingdao_China,POINT(120.3719400000001 36.09861000000006),"POLYGON((119.9297627658416 35.73729905824636,119.9257049183382 36.4582525422405,120.818175081662 36.4582525422405,120.8141172341586 35.73729905824636,119.9297627658416 35.73729905824636))"
fossil0079,fossil_Nagoya_Japan,POINT(136.906683388 35.18142047000003),"POLYGON((136.4694639788958 34.82008160365573,136.465585393573 35.54114558151836,137.3477813824271 35.54114558151836,137.3439027971043 34.82008160365573,136.4694639788958 34.82008160365573))"
fossil0080,fossil_Montreal_Canada,POINT(-73.55468999999994 45.51240000000007),"POLYGON((-74.06334700460472 45.15135527299766,-74.06987241254464 45.87112789440741,-73.03950758745523 45.87112789440741,-73.04603299539515 45.15135527299766,-74.06334700460472 45.15135527299766))"
fossil0081,fossil_St_Louis_USA,POINT(-90.19955999999996 38.62775000000005),"POLYGON((-90.65663347863871 38.26651555365709,-90.66123151795908 38.98715868496308,-89.73788848204084 38.98715868496308,-89.74248652136122 38.26651555365709,-90.65663347863871 38.26651555365709))"
fossil0082,fossil_San_Diego_USA,POINT(-117.16171 32.71568000000008),"POLYGON((-117.5866643267233 32.35426654593747,-117.5900986643332 33.07562096391155,-116.7333213356668 33.07562096391155,-116.7367556732767 32.35426654593747,-117.5866643267233 32.35426654593747))"
fossil0083,fossil_Jinan_China,POINT(116.9972200000001 36.66833000000003),"POLYGON((116.5518480608046 36.30703638828586,116.5476746330528 37.02792064711629,117.4467653669474 37.02792064711629,117.4425919391955 36.30703638828586,116.5518480608046 36.30703638828586))"
fossil0084,fossil_Santiago_Chile,POINT(-70.65001999999998 -33.43721999999997),"POLYGON((-71.08196869692893 -33.79709874014473,-71.07840966892228 -33.07582823635627,-70.22163033107769 -33.07582823635627,-70.21807130307106 -33.79709874014473,-71.08196869692893 -33.79709874014473))"
fossil0085,fossil_Rotterdam_Netherlands,POINT(4.478480000000047 51.92282000000006),"POLYGON((3.901659813800762 51.56189216870542,3.892370632422313 52.28085376211946,5.06458936757781 52.28085376211946,5.055300186199332 51.56189216870542,3.901659813800762 51.56189216870542))"
